Timepoint,Time,SocketID,Time,pktFlowWindow,pktCongestionWindow,pktFlightSize,msRTT,mbpsBandwidth,mbpsMaxBW,pktSent,pktSentUnique,pktSndLoss,pktSndDrop,pktRetrans,pktSndFilterExtra,byteSent,byteSentUnique,byteSndDrop,byteAvailSndBuf,msSndBuf,mbpsSendRate,usPktSndPeriod,pktRecv,pktRecvUnique,pktRcvLoss,pktRcvDrop,pktRcvRetrans,pktRcvBelated,pktRcvFilterExtra,pktRcvFilterSupply,pktRcvFilterLoss,byteRecv,byteRecvUnique,byteRcvLoss,byteRcvDrop,byteAvailRcvBuf,msRcvBuf,mbpsRecvRate,msRcvTsbPdDelay
2022-01-17T12:20:55.031203+0000,116818,448292610,116818,8192,8192,0,47.424,115.56,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,995,989,9,7,8,6,0,0,0,1353200,1345040,12240,9520,12286500,21,7.0409,800
2022-01-17T12:20:56.616049+0000,118402,448292610,118402,8192,8192,0,48.098,116.628,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1016,1000,17,15,18,16,0,0,0,1381760,1360000,23120,20400,12286500,15,6.97486,800
2022-01-17T12:20:58.167168+0000,119954,448292610,119954,8192,8192,0,47.968,130.68,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1011,1007,43,43,4,4,0,0,0,1374960,1369520,58480,58480,12276000,11,7.09145,800
2022-01-17T12:20:59.719374+0000,121506,448292610,121506,8192,8192,0,48.47,156.936,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1007,1000,138,138,7,7,0,0,0,1369520,1360000,187680,187680,12277500,12,7.05844,800
2022-01-17T12:21:01.328143+0000,123115,448292610,123115,8192,8192,0,47.725,161.52,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1018,1014,18,16,5,4,0,0,0,1384480,1379040,24480,21760,12268500,23,6.88467,800
2022-01-17T12:21:03.620512+0000,125407,448292610,125407,8192,8192,0,47.777,134.292,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1391,1388,10,1,13,3,0,0,0,1891760,1887680,13600,1360,11676000,490,6.60196,800
2022-01-17T12:21:05.262955+0000,127049,448292610,127049,8192,8192,0,47.768,143.172,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,928,928,3,0,3,0,0,0,0,1262080,1262080,4080,0,11784000,614,6.14732,800
2022-01-17T12:21:07.504229+0000,129291,448292610,129291,8192,8192,0,47.275,133.98,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,996,994,8,0,10,2,0,0,0,1354560,1351840,10880,0,11799000,705,4.83496,800
2022-01-17T12:21:09.368057+0000,131154,448292610,131154,8192,8192,0,48.009,171.78,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,972,971,9,0,10,1,0,0,0,1321920,1320560,12240,0,11839500,656,5.674,800
2022-01-17T12:21:11.380746+0000,133167,448292610,133167,8192,8192,0,48.25,131.892,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1060,1057,13,0,15,3,0,0,0,1441600,1437520,17680,0,11760000,723,5.73003,800
2022-01-17T12:21:13.092070+0000,134879,448292610,134879,8192,8192,0,48.537,130.968,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,999,994,11,0,17,5,0,0,0,1358640,1351840,14960,0,11767500,634,6.35132,800
2022-01-17T12:21:14.524467+0000,136311,448292610,136311,8192,8192,0,49.041,127.524,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,912,911,13,0,14,1,0,0,0,1240320,1238960,17680,0,11895000,441,6.9272,800
2022-01-17T12:21:16.275599+0000,138062,448292610,138062,8192,8192,0,48.192,116.952,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1094,1092,14,0,15,2,0,0,0,1487840,1485120,19040,0,11776500,451,6.79716,800
2022-01-17T12:21:18.038885+0000,139825,448292610,139825,8192,8192,0,47.918,140.268,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1009,1008,15,0,17,1,0,0,0,1372240,1370880,20400,0,11745000,629,6.22584,800
2022-01-17T12:21:19.666823+0000,141453,448292610,141453,8192,8192,0,49.644,113.34,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,961,960,12,0,12,1,0,0,0,1306960,1305600,16320,0,11845500,573,6.42266,800
2022-01-17T12:21:21.261325+0000,143048,448292610,143048,8192,8192,0,48.154,151.644,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,992,991,6,0,8,1,0,0,0,1349120,1347760,8160,0,11815500,436,6.76884,800
2022-01-17T12:21:22.505120+0000,144292,448292610,144292,8192,8192,0,50.026,158.892,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,817,817,11,0,8,0,0,0,0,1111120,1111120,14960,0,12093000,295,7.1467,800
2022-01-17T12:21:24.097731+0000,145884,448292610,145884,8192,8192,0,47.564,127.332,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1037,1035,6,0,11,2,0,0,0,1410320,1407600,8160,0,12036000,222,7.08432,800
2022-01-17T12:21:25.948311+0000,147735,448292610,147735,8192,8192,0,47.556,114.228,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1185,1184,11,0,12,1,0,0,0,1611600,1610240,14960,0,11767500,353,6.96687,800
2022-01-17T12:21:27.438742+0000,149225,448292610,149225,8192,8192,0,48.099,146.232,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,934,933,6,0,7,1,0,0,0,1270240,1268880,8160,0,11863500,435,6.81824,800
2022-01-17T12:21:29.196297+0000,150983,448292610,150983,8192,8192,0,47.871,128.544,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1063,1060,7,0,10,3,0,0,0,1445680,1441600,9520,0,11775000,539,6.58032,800
2022-01-17T12:21:30.953950+0000,152740,448292610,152740,8192,8192,0,47.918,169.02,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1042,1034,14,0,19,8,0,0,0,1417120,1406240,19040,0,11722500,587,6.45004,800
2022-01-17T12:21:32.736092+0000,154523,448292610,154523,8192,8192,0,48.386,149.916,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,967,965,16,0,21,2,0,0,0,1315120,1312400,21760,0,11778000,695,5.90358,800
2022-01-17T12:21:34.634644+0000,156421,448292610,156421,8192,8192,0,47.435,172.08,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,997,997,9,0,8,0,0,0,0,1355920,1355920,12240,0,11802000,683,5.71349,800
2022-01-17T12:21:36.667658+0000,158454,448292610,158454,8192,8192,0,47.841,121.176,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1037,1034,10,0,14,3,0,0,0,1410320,1406240,13600,0,11731500,676,5.54966,800
2022-01-17T12:21:38.338503+0000,160125,448292610,160125,8192,8192,0,48.179,137.292,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,956,953,6,0,9,3,0,0,0,1300160,1296080,8160,0,11796000,656,6.22517,800
2022-01-17T12:21:40.452108+0000,162239,448292610,162239,8192,8192,0,48.06,139.644,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1075,1075,5,0,5,0,0,0,0,1462000,1462000,6800,0,11691000,703,5.53366,800
2022-01-17T12:21:41.958961+0000,163745,448292610,163745,8192,8192,0,47.882,124.92,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,899,899,6,0,6,0,0,0,0,1222640,1222640,8160,0,11838000,546,6.49114,800
2022-01-17T12:21:43.569373+0000,165356,448292610,165356,8192,8192,0,47.802,134.052,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,994,992,8,0,10,2,0,0,0,1351840,1349120,10880,0,11848500,499,6.71546,800
2022-01-17T12:21:45.482129+0000,167269,448292610,167269,8192,8192,0,47.583,143.616,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1103,1100,10,0,12,3,0,0,0,1500080,1496000,13600,0,11707500,669,6.27401,800
